auc = 0.8505929244055046, eer = 0.25
auc = 0.6535689358960592, eer = 0.4100719424455693
auc = 0.6118627289226201, eer = 0.44827586206842895
auc = 0.957782478406487, eer = 0.0967741935485884
auc = 0.9507398380662888, eer = 0.06386066763468298
auc = 0.8983779377801929, eer = 0.22588235294117637
auc = 0.9246666666666667, eer = 0.14285714285636897
auc = 0.7884615384615385, eer = 0.23076923076920275
auc = 0.8487584972145541, eer = 0.2522522522524158
auc = 0.5845999269272926, eer = 0.3852941176470588
auc = 0.810728534422448, eer = 0.3010380622834411
auc = 0.9309488443008825, eer = 0.17123287671232745
auc = 0.8923710034821145, eer = 0.2478632478632479
auc = 0.9067293731456347, eer = 0.16589861751152188
auc = 0.9885961702646664, eer = 0.045005488474204165
auc = 0.8062213397626815, eer = 0.26262626262637356
auc = 0.2000492934604009, eer = 0.7647058823524979
auc = 0.7128171763175017, eer = 0.3622641509425536
auc = 0.9655172413793104, eer = 0.11206896551676411
auc = 0.5688639092000436, eer = 0.512605042016809
auc = 0.8999179655455292, eer = 0.18867924528411692
