auc = 0.5055555555555555, eer = 0.4916666666659884
auc = 0.5342652152399802, eer = 0.4787234042553191
auc = 0.7585616438356164, eer = 0.25
auc = 0.48777777777777775, eer = 0.5533333333332536
auc = 0.754891103728313, eer = 0.2868217054275697
auc = 0.28661275831087146, eer = 0.6666666666666667
auc = 0.6510288065843621, eer = 0.4074074074075671
auc = 0.6510288065843621, eer = 1.8189894035458565e-12
auc = 0.6510288065843621, eer = 1.8189894035458565e-12
auc = 0.6510288065843621, eer = 1.8189894035458565e-12
auc = 0.6510288065843621, eer = 1.8189894035458565e-12
auc = 0.6185885551847733, eer = 0.4086021505378678
